,time,KWH
373,2006/1/17 13:59,3630
374,2006/1/17 14:59,3912.5
375,2006/1/17 15:59,3870
376,2006/1/17 16:59,3845
377,2006/1/17 17:59,3757.5
378,2006/1/17 18:59,3675
379,2006/1/17 19:59,3552.5
380,2006/1/17 20:59,3400
381,2006/1/17 21:59,3527.5
382,2006/1/17 22:59,3810
383,2006/1/17 23:59,3735
384,2006/1/18 0:59,3715
385,2006/1/18 1:59,3652.5
386,2006/1/18 2:59,3612.5
387,2006/1/18 3:59,3530
388,2006/1/18 4:59,3422.5
389,2006/1/18 5:59,3442.5
390,2006/1/18 6:59,3750
391,2006/1/18 7:59,3752.5
392,2006/1/18 8:59,3812.5
393,2006/1/18 9:59,3705
394,2006/1/18 10:59,3622.5
395,2006/1/18 11:59,3725
396,2006/1/18 12:59,3585
397,2006/1/18 13:59,3660
398,2006/1/18 14:59,3897.5
399,2006/1/18 15:59,3832.5
400,2006/1/18 16:59,3855
401,2006/1/18 17:59,3770
402,2006/1/18 18:59,3657.5
403,2006/1/18 19:59,3595
404,2006/1/18 20:59,3467.5
405,2006/1/18 21:59,3622.5
406,2006/1/18 22:59,3892.5
407,2006/1/18 23:59,3820
408,2006/1/19 0:59,3795
409,2006/1/19 1:59,3735
410,2006/1/19 2:59,3627.5
411,2006/1/19 3:59,3510
412,2006/1/19 4:59,3455
413,2006/1/19 5:59,3485
414,2006/1/19 6:59,3757.5
415,2006/1/19 7:59,3777.5
416,2006/1/19 8:59,3835
417,2006/1/19 9:59,3707.5
418,2006/1/19 10:59,1877.5
419,2006/1/19 11:59,3815
420,2006/1/19 12:59,3675
421,2006/1/19 13:59,3670
422,2006/1/19 14:59,965
423,2006/1/19 15:59,0
424,2006/1/19 16:59,0
425,2006/1/19 17:59,0
426,2006/1/19 18:59,0
427,2006/1/19 19:59,0
428,2006/1/19 20:59,0
429,2006/1/19 21:59,0
430,2006/1/19 22:59,0
431,2006/1/19 23:59,0
432,2006/1/20 0:59,0
433,2006/1/20 1:59,0
434,2006/1/20 2:59,0
435,2006/1/20 3:59,0
436,2006/1/20 4:59,0
437,2006/1/20 5:59,0
438,2006/1/20 6:59,0
439,2006/1/20 7:59,0
440,2006/1/20 8:59,0
441,2006/1/20 9:59,0
442,2006/1/20 10:59,0
443,2006/1/20 11:59,0
444,2006/1/20 12:59,0
445,2006/1/20 13:59,0
446,2006/1/20 14:59,0
447,2006/1/20 15:59,0
